GSM7932779 	SCD-1908204
GSM7932780 	SCD-1908205
GSM7932781 	SCD-1909116
GSM7932782 	SCD-404YJ1
GSM7932783 	SCD-404YJ2
GSM7932784 	SCD-547YJ1
GSM7932785 	SCD-547YJ2
GSM7932786 	SCD-604YJ1
GSM7932787 	SCD-604YJ2
GSM7932788 	SCD-925YJ1
GSM7932789 	SCD-925YJ2
GSM7932790 	SCD-SC159
GSM7932791 	SCD-SC160
GSM7932792 	SCD-SC163
GSM7932793 	SCD-SC164
GSM7932794 	SCD-SC169
GSM7932795 	SCD-SC184
GSM7932796 	SCD-SC202
GSM7932797 	SCD-SC212
GSM7932798 	SCD-SC224
GSM7932799 	SCD-SC226
GSM7932800 	SCD-SC229
GSM7932801 	SCD-SC230
GSM7932802 	SCD-SC237
GSM7932803 	SCD-SC240
GSM7932804 	SCD-SC247
GSM7932805 	NS-AR010
GSM7932806 	NS-AR012
GSM7932807 	NS-AR013
GSM7932808 	NS-AR014
GSM7932809 	NS-AR015
GSM7932810 	NS-AR016
GSM7932811 	NS-AR017
GSM7932812 	NS-AR018
GSM7932813 	NS-AR019
GSM7932814 	NS-AR020
GSM7932815 	NS-AR021
GSM7932816 	NS-AR022
GSM7932817 	spatial-sample-A
GSM7932818 	spatial-sample-B
GSM7932819 	spatial-sample-C
GSM7932820 	spatial-sample-D
